,CASE_NUM,datetime,LONGITUDE,LATITUDE,score
10407,SAPD16272976,12/15/2016 23:54,-98.47423756,29.37454115,1956.745615
9742,SAPD16273672,12/16/2016 6:55,-98.42612671,29.41449056,1858.366494
9739,SAPD16273321,12/16/2016 7:00,-98.52057179,29.41929545,2358.973304
9741,SAPD16273527,12/16/2016 8:00,-98.51781644,29.55146968,1708.529786
9740,SAPD16273630,12/16/2016 8:30,-98.530278,29.427222,2454.401962
9770,SAPD16273432,12/16/2016 8:45,-98.61186554,29.51159143,1766.814517
9769,SAPD16273341,12/16/2016 10:00,-98.51791679,29.46878198,2376.049672
9768,SAPD16273396,12/16/2016 10:15,-98.49980554,29.35487696,1871.058685
9767,SAPD16273380,12/16/2016 10:30,-98.49287611,29.40942491,2360.678644
9737,SAPD16273718,12/16/2016 11:00,-98.653889,29.4025,1447.63525
9745,SAPD16273211,12/16/2016 11:00,-98.64283044,29.35176027,1212.048501
9766,SAPD16273517,12/16/2016 11:00,-98.55756847,29.50138141,2224.170474
9765,SAPD16273511,12/16/2016 12:00,-98.47123654,29.4243846,2326.985176
9764,SAPD16273345,12/16/2016 12:04,-98.66423793,29.43155074,1443.122238
9763,SAPD16273684,12/16/2016 14:00,-98.40283804,29.51280633,1505.378902
9743,SAPD16273336,12/16/2016 14:15,-98.63194566,29.42311564,1762.330909
9762,SAPD16273351,12/16/2016 14:30,-98.42755729,29.41212893,1939.843357
9761,SAPD16273801,12/16/2016 15:00,-98.460833,29.389722,2186.587866
9760,SAPD16273391,12/16/2016 15:21,-98.59442163,29.53847439,1721.685616
9738,SAPD16273686,12/16/2016 16:00,-98.50259636,29.48651249,2414.3547
9759,SAPD16273491,12/16/2016 16:40,-98.53579296,29.33282226,1578.738543
9757,SAPD16274950,12/16/2016 17:00,-98.52425647,29.49747933,2312.84823
9758,SAPD16273989,12/16/2016 17:00,-98.69841559,29.43040804,1075.340543
9756,SAPD16273579,12/16/2016 17:30,-98.42238853,29.35759812,1528.975108
9736,SAPD16273457,12/16/2016 17:52,-98.46348071,29.38126505,2172.529811
9755,SAPD16275436,12/16/2016 18:00,-98.5908187,29.50776775,2053.166187
9754,SAPD16273641,12/16/2016 18:30,-98.56224933,29.48075576,2428.018444
9753,SAPD16273907,12/16/2016 19:52,-98.46915423,29.38276779,2234.194
9752,SAPD16278018,12/16/2016 20:00,-98.40271729,29.4931347,1697.556229
9751,SAPD16274320,12/16/2016 21:00,-98.50299322,29.48642893,2478.419182
9750,SAPD16281951,12/16/2016 22:00,-98.43133923,29.49055757,2000.6955
9112,SAPD16277101,12/17/2016 0:00,-98.61452589,29.36015107,1596.891979
9111,SAPD16274146,12/17/2016 1:00,-98.50450291,29.39533395,2492.256722
9110,SAPD16273938,12/17/2016 4:30,-98.66861383,29.49049897,1412.916113
9109,SAPD16274436,12/17/2016 6:00,-98.49839562,29.53775371,2048.206392
9108,SAPD16274821,12/17/2016 9:00,-98.49122406,29.42651813,2563.215304
9090,SAPD16274298,12/17/2016 11:00,-98.39382427,29.41124622,1631.666662
9107,SAPD16277292,12/17/2016 12:00,-98.56751327,29.52594335,2078.636255
9106,SAPD16274247,12/17/2016 12:15,-98.47166085,29.59192729,1313.639376
9105,SAPD16274386,12/17/2016 13:00,-98.46520124,29.36890681,2080.74756
9104,SAPD16275004,12/17/2016 17:30,-98.603056,29.346667,1589.62419
9103,SAPD16274492,12/17/2016 18:00,-98.44634605,29.39556479,2197.803875
9089,SAPD16274401,12/17/2016 18:30,-98.585556,29.450278,2443.326602
9102,SAPD16274545,12/17/2016 18:30,-98.4575,29.4325,2510.481564
9101,SAPD16274604,12/17/2016 18:54,-98.35504565,29.49411999,1246.627431
9091,SAPD16275072,12/17/2016 19:00,-98.45021359,29.42444681,2362.511317
9099,SAPD16274852,12/17/2016 20:00,-98.58825194,29.50224607,2224.58058
9100,SAPD16274967,12/17/2016 20:00,-98.50259362,29.45698589,2657.038081
9098,SAPD16274779,12/17/2016 21:40,-98.69733519,29.43744136,1196.100569
9097,SAPD16274702,12/17/2016 22:30,-98.44403008,29.35178707,1797.686823
8519,SAPD16274643,12/18/2016 0:01,-98.41109912,29.52615947,1687.596744
8533,SAPD16275235,12/18/2016 1:00,-98.40670144,29.48412994,1906.264139
8532,SAPD16274869,12/18/2016 10:00,-98.47110891,29.44309874,2555.941446
8530,SAPD16274988,12/18/2016 11:00,-98.4147252,29.51562319,1787.029376
8531,SAPD16275187,12/18/2016 11:00,-98.48429925,29.39211688,2470.839327
8529,SAPD16275647,12/18/2016 13:00,-98.52021872,29.38696204,2450.458179
8528,SAPD16275267,12/18/2016 17:00,-98.71212226,29.49709415,965.6505668
8527,SAPD16275355,12/18/2016 20:00,-98.54819232,29.56752014,1721.328111
8526,SAPD16275221,12/18/2016 20:20,-98.59016838,29.43777552,2373.287404
8030,SAPD16275423,12/19/2016 1:00,-98.48403583,29.39674869,2484.308637
8016,SAPD16275740,12/19/2016 6:00,-98.61083302,29.37530058,1805.901363
8028,SAPD16275645,12/19/2016 8:00,-98.3775985,29.56655294,1025.891794
8029,SAPD16275513,12/19/2016 8:00,-98.44930344,29.42192107,2393.149711
8011,SAPD16275503,12/19/2016 8:35,-98.65479352,29.42418434,1635.889723
